application,tag1,tag2,tag3,keybinding,function,note,,
,,,,,,,,
vim,cut,paste,,dtc,Delete to character,,,
vim,cut,paste,,yy,yank (copy) a line,,,
vim,cut,paste,,2yy,yank (copy) 2 lines,,,
vim,cut,paste,,yw,yank (copy) the char of the word,to the start of the next word,,
vim,cut,paste,,y$,yank (copy) to end of line,,,
vim,cut,paste,,p,paste the clipboard after cursor,,,
vim,cut,paste,,P,paste before cursor,,,
vim,cut,paste,,dd,cut a line,,,
vim,cut,paste,,2dd,cut 2 lines,,,
vim,cut,paste,,dw,cut the char of the word,to the start of the next word,,
vim,cut,paste,,D,cut to the end of the line,,,
vim,cut,paste,,d$,cut to the end of the line,,,
vim,cut,paste,,d^,cut to the first non-blank,,,
vim,cut,paste,,d0,cut to the begining of the line,,,
vim,cut,paste,,x,cut character,,,
vim,search,replace,,spacebar,search,,,
vim,search,replace,,ctrl + spacebar,search prev,,,
vim,search,replace,,/pattern,search for pattern,,,
vim,search,replace,,?pattern,search backward for pattern,,,
vim,search,replace,,n,repeat search in same direction,,,
vim,search,replace,,N,repeat search in opposite direction,,,
vim,search,replace,,:%s/old/new/g,replace old with new through file,,,
vim,search,replace,,:%s/old/new/gc,replace old with new through file,with confirmations,,
vim,search,replace,,:noh,remove highlighting of search matches,,,
vim,search,multi,,:vimgrep /pattern/ {file},search for pattern in multiple files,,,
vim,search,multi,,:cn,jump to the next match,,,
vim,search,multi,,:cp,jump to the previous match,,,
vim,search,multi,,:copen,open a window with the list of matches,,,
vim,exit,,,:w or :w /path,write (save) file,don't exit,,
vim,exit,,,:W,write (save) file as sudo,don't exit,,
vim,exit,,,:w !sudo tee %,write out the current file using sudo,,,
vim,exit,,,:wq or :x or ZZ,write (save) and quit,,,
vim,exit,,,:q,quit,fails if there are unsaved changes,,
vim,exit,,,:q! or ZQ,quit and throw away unsaved changes,,,
vim,exit,,,:bd or bd!,Close the file (buffer),,,
vim,multi,file,,:e file,edit a file in a new buffer,,,
vim,multi,file,,:bnext or :bn,go to the next buffer,,,
vim,multi,file,,:bprev or :bp,go to the previous buffer,,,
vim,multi,file,,:bd,delete a buffer (close a file),,,
vim,multi,file,,:ls,list all open buffers,,,
vim,multi,file,,:sp file,open in buffer with split,,,
vim,multi,file,,:vsp file,open in buffer with vertical split,,,
vim,multi,file,,Ctrl + wv,split window vertically,,,
vim,multi,file,,Ctrl + ws,split window horizontally,,,
vim,multi,file,,Ctrl + ww,switch windows,,,
vim,multi,file,,Ctrl + wq,quit a window,,,
vim,multi,file,,Ctrl + wv,split window vertically,,,
vim,multi,file,,Ctrl + wh,cursor to left window,,,
vim,multi,file,,Ctrl + wl,cursor to right window),,,
vim,multi,file,,Ctrl + wj,cursor to window belowit),,,
vim,multi,file,,Ctrl + wk,cursor to window aboveit),,,
vim,multi,file,,':windo diffthis',diff current windows into a new buffer,,,
vim,tabs,,,<number>gt,move to tab <number>,,,
vim,tabs,,,Ctrl + wT,move the current split into a new tab,,,
vim,tabs,,,gt or :tabnext or :tabn,move to the next tab,,,
vim,tabs,,,gT or :tabprev or :tabp,move to the previous tab,,,
vim,tabs,,,:tabmove <number>,move current tab to the nth position,indexed from 0,,
vim,tabs,,,:tabclose or :tabc,close the current tab and all windows,,,
vim,tabs,,,:tabonly or :tabo,close all tabs except the current one,,,
vim,tabs,,,:tabdo command,run the command on all tabs,e.g. :tabdo q - closes all opened tabs,,
vim,folding,,,zo / zO,Open,,,
vim,folding,,,zc / zC,Close,,,
vim,folding,,,za / zA,Toggle,,,
vim,folding,,,zv,Open folds for this line,,,
vim,folding,,,zM,Close all,,,
vim,folding,,,zR,Open all,,,
vim,folding,,,zm,Fold more (foldlevel  + = 1),,,
vim,folding,,,zr,Fold less (foldlevel -= 1),,,
vim,folding,,,zx,Update folds,,,
vim,sessions,,,""":mksession /path""",Save the curren vim session,,,
vim,sessions,,,""":source /path""",Load the specified vim session,,,
vim,command,,,line: iab,Insert timestamp,,,
vim,command,,,line: $q,Delete until the last slash,,,
vim,custom,leader,,<leader>s,Invoke AceJump,,,
vim,custom,leader,,<leader>m,Move one char right in insert mode,,,
vim,custom,leader,,<leader>ev,Edit current .vimrc,,,
vim,custom,leader,,<leader>sv,Reload .vimrc,,,
vim,custom,leader,,<leader>cal,Calendar,,,
vim,custom,leader,folding,<leader>f,Fold all on indents,,,
vim,custom,leader,,<leader>ne,Open file explorer (Netrw),,,
vim,custom,leader,,<leader>tt,Save,,,
vim,custom,,,nn,Exit insert mode,,,
vim,custom,,,gf,Goto file,,,
vim,custom,,,gd,Goto function definition,,,
vim,custom,,,ctrl + o,Vim back (from links),,,
vim,custom,,,g - Ctrl + G,Word count,,,
vim,custom,,,Ctrl - w-=,Resize splits to be equal,,,
vim,custom,,,Ctrl - w-HJKL,Move split to direction,,,
vim,custom,,,':TOHtml',Export buffer to HTML page,,,
vim,custom,,,':v/\S/d',Remove all blank lines,,,
vim,custom,,,':set syntax=sql',Set syntax highlighting,,,
linux,terminal,,,Ctrl + z,Pause process & send to background,Type 'bg' to run,,
linux,terminal,,,Ctrl + Alt + C/V,Paste into terminal,,,
linux,terminal,,,echo $SHELL,Which shell,,,
linux,terminal,,,free -h,Show ram status,,,
linux,terminal,,,Ctrl + w,Delete word,,,
linux,terminal,,,lscpu,Shows cpu info,,,
linux,terminal,,,acpi -bi,Shows battery info,,,
linux,terminal,,,lsb_release -a,Distro version (Ubuntu),,,
linux,terminal,,,uname -sr,Kernel version,,,
linux,terminal,,,apt-get distro-upgrade,Update distro,,,
linux,terminal,,,nm-applet,Network manager gui for wifi,,,
linux,terminal,,,chmod +x $filename,Add execution to $filename,,,
firefox,curr page,,,F6,Move to the next frame,,,
firefox,curr page,,,Shift + F6,Move to the prev frame,,,
firefox,tabs,,,Ctrl + w,Close Tab - except for Pinned Tabs,,,
firefox,tabs,,,Ctrl + q,Quit,,,
firefox,tabs,,,Ctrl + h,Go one Tab to the Left,,,
firefox,tabs,,,Ctrl + l,Go one Tab to the Right,,,
firefox,tabs,,,Ctrl + m,Mute/Unmute Audio,,,
firefox,tabs,,,Ctrl + t,New Tab,,,
firefox,tabs,,,Ctrl + n,New Window,,,
firefox,tabs,,,Ctrl + Shift + p,New Private Window,,,
firefox,tabs,,,Ctrl + Shift + t,Undo Close Tab,,,
firefox,tabs,,,Ctrl + Shift + n,Undo Close Window,,,
firefox,tools,,,Ctrl + Shift + i,Toggle Developer Tools,,,
firefox,tools,,,Ctrl + Shift + k,Web Console,,,
firefox,tools,,,Ctrl + Shift + m,Responsive Design View,,,
firefox,misc,,,Shift + Del,Delete Selected Autocomplete Entry,,,
firefox,misc,,,Ctrl + Alt + R,Toggle Reader Mode,,,
firefox,misc,,,Alt + D,Focus Address Bar,,,
firefox,nav,,,Shift + h,Go Back,,,
firefox,nav,,,Shift + l,Go Forward,,,
firefox,nav,,,Shift + J,Previous Tab,,,
firefox,nav,,,Shift + K,Next Tab,,,
firefox,nav,,,Ctrl + Shift + t,Undo close tab,,,
firefox,vimium,,,r,Reload,,,
firefox,vimium,,,o,Focus url bar,,,
firefox,vimium,,,H,Back,,,
firefox,vimium,,,L,Forward,,,
firefox,vimium,,,t,New Tab,,,
firefox,vimium,,,x,Close Tab,,,
firefox,vimium,,,f,Follow / Focus Text / Click Button,,,
discord,,,,ctrl + alt + /,Navigate Between Servers,,,
discord,,,,ALT + /,Navigate Between Channels,,,
discord,,,,ALT + Shift + /,Navigate Between Unread Channels,,,
discord,,,,Escape,Mark Channel as Read,,,
discord,,,,Shift + Escape,Mark Server Read,,,
discord,,,,Shift + Page Up,Jump to Oldest Unread Message,,,
discord,,,,Tab,Focus Text Area,,,
thunderbird,base,,,Ctrl + f,Open menu,,,
thunderbird,base,,,Ctrl + w,Close tab,,,
thunderbird,email,,,ctrl + n,New email,,,
thunderbird,email,,,ctrl + r,Reply email,,,
windows,,,,Alt + t,Launchy,,,
windows,,,,Win + i,Windows Settings,,,
windows,,,,Alt + Space,Switcheroo,,,
windows,,,,(Browser)Alt + D,Highlight omnibar,,,
docker,,,,docker ps,List running containers,,,
docker,,,,docker images,list images,,,
docker,,,,docker container ls,list containers,,,
docker,,,,docker pull <image>,get image from dockerhub,,,
fman,,,,shift + l,Open in right pane,,,
fman,,,,shift + h,Open in left pane,,,
fman,,,,ctrl + d,Move to trash,,,
fman,,,,ctrl + r,Rename,,,
fman,,,,ctrl + n,Create and edit file,,,
