application,tag1,tag2,tag3,keybinding,function,note,,
vscode,appearance,,,leader+z,Toggle Zen Mode,,,
vscode,appearance,,,leader+f,Toggle Full Screen Mode,,,
vscode,appearance,,,leader+z,Zen Mode,,,
